江西省100所，数据来源于：http://www.moe.gov.cn/srcsite/A03/moe_634/201706/t20170614_306900.html,,,,,
学校名称,学校标识码,主管部门,所在地,办学层次,备注
江西新能源科技职业学院,4136014166,江西省教育厅,新余市,专科,民办
江西枫林涉外经贸职业学院,4136014167,江西省教育厅,九江市,专科,民办
江西泰豪动漫职业学院,4136014168,江西省教育厅,南昌市,专科,民办
江西冶金职业技术学院,4136014241,江西省,新余市,专科,
江西管理职业学院,4136014249,江西省,南昌市,专科,
江西传媒职业学院,4136014250,江西省,南昌市,专科,
江西工商职业技术学院,4136014321,江西省教育厅,南昌市,专科,民办
景德镇陶瓷职业技术学院,4136014402,江西省教育厅,景德镇市,专科,民办
共青科技职业学院,4136014403,江西省教育厅,九江市,专科,民办
赣州师范高等专科学校,4136014465,江西省,赣州市,专科,
江西水利职业学院,4136014476,江西省,南昌市,专科,
宜春幼儿师范高等专科学校,4136014494,江西省,宜春市,专科,
吉安职业技术学院,4136014504,江西省,吉安市,专科,
江西洪州职业学院,4136014505,江西省教育厅,宜春市,专科,民办
江西师范高等专科学校,4136014537,江西省       ,鹰潭市,专科,
南昌影视传播职业学院,4136014544,江西省教育厅,南昌市,专科,民办
赣南卫生健康职业学院,4136014569,江西省,赣州市,专科,
